Input_context,Input_title,Input_url,Answer_description
how many times was ed sheeran listed as the performer,2014,https://en.wikipedia.org/wiki/List_of_number-one_singles_and_albums_in_Sweden#2014,"I found a table of number-one singles and albums in Sweden. It covers the years, starting in 1976 to 2018. Don't You Worry Child"" by the group Swedish House Mafia featuring John Martin, was the longest running number one song. It was number one for 13 weeks."
how many times was ed sheeran listed as the performer,2014,https://en.wikipedia.org/wiki/List_of_number-one_singles_and_albums_in_Sweden#2014,"Ed Sheeran was listed as a performer twice in the table documenting the top hits of 2014 in Sweden. Other English-Language top performers included Bruce Springsteen, Sam Smith, and Coldplay, implying that English-Language music has significant success in Sweden."
how many times was ed sheeran listed as the performer,2014,https://en.wikipedia.org/wiki/List_of_number-one_singles_and_albums_in_Sweden#2014,"Here is the detail of Swedish number-one singles for year 2014. The detail provides top songs of every week for year 2014. Here one can find the name of top song of the week, dates of the week, Performer, Album name for the song and Performer of the Hit song."
how many times was ed sheeran listed as the performer,2014,https://en.wikipedia.org/wiki/List_of_number-one_singles_and_albums_in_Sweden#2014,"According to the table, in 2014, Ed Sheeran was only listed as the performer one time. It was for the song that he performed that is called ""I See Fire"", which was out in January and February of 2014"
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise,"I found a table of the fourteen tallest buildings in Boise, Idaho. The tallest building is the Eight & Main building at a staggering 323ft height and was built in 2013. The shortest building in the list is the Idaho Power Building at a mere 160ft tall and it was established back in 1990. Perhaps the most surprising building on the list is the Albertsons Stadium standing at 170ft tall and it was constructed back in 1970."
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise,There is at least 10 buildings with with 10 floors or more with Eight & Main being the tallest with a total of 40 floors and Banner bank and Wells Fargo being around 11 .
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise,"This is the table showing fourteen tallest buildings in Boise, Idaho. The table provides us with the detail of Rank according to the height of the building, Name of the building, Image of the building, Height of the building, Number of the floors in the building, Year in which the building is formed and Notes section for some important information related to the buildings."
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise,"I found a table with the tallest buildings in the city of Boise on the state of Idaho. There are 12 buildings on the list, the tallest has 98 m and has 40 floors."
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise,"This is a list of the 13 tallest buildings in Boise, Idaho. The shortest is the Idaho Power building at 160 feet  whereas the tallest is the 8th and Main building at 323 feet. This has been the tallest building since 2013 and has 40 floors."
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners,"I found a table of Past winners. Kenya has won the most in men's as well as women's category with 12 times in each of the category, totalling 24 times."
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners,The table lists the winners of the past Pune international marathon from the year 1983 to 2019. Tommy Persson of sweden is the first winner in the year 1983. And  Dadi Teka  of Ethopia is the latest winner of the year 2019.
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners,"I found a table of The Pune International Marathon. It is a once a year foot race, in Pune India. The race began in 1983. It has ran for 34 years, only canceled once because of the  2016 Indian banknote demonetization."
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners,I see a table of past winners in the marathon race for both men and women from 1983 to current. Tommy Persson was the male winner in 1983 and Asha Agarwal was the female winner in 1985.
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners,"The table is about past winners at Pune International Marathon. The table provides us with the detail of edition of Marathon, Year, Men’s category winner, Time taken, Women winner and time taken (H:M:S)."
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives,"I found a table of all Diesel locomotives across the California Western Railroad. This list contains 20 different locomotives greatly varying in dates and types. The locomotives are grouped into 8 different types. These types include Motor Car, Railbus, GP9m, Rs-11, Rs-12, S-12, DS4-4-750, and DS4-4-1000. Majority of the works numbers are unknown."
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives,"I see a table of Diesel locomotives. There are columns as, builder, type, data, works number, notes. There are 7 builders, Of which Baldwin Locomotive works is the major builder. The notes shows informations regarding where they were accquired from."
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives,"""I found a table of Ivy League members. There are 8 institutions, like Harvard and Yale. They are located in 7 states in northeasten U.S.. Among them, Cornell has the most undergraduates, Columbia University has the most graduates."""
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives,"The table is about Diesel locomotives at California Western Railroad. The table provides us with the detail of Number of locomotives, Builder Name, Type of Locomotive, Date, Works Number and Important notes related to diesel locomotives."
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives,"The Californian Western railroad, popularly called the Skunk train was opened in 1885. Then, it was known as Fort Bragg railroad. It runs from Fort Bragg to Willits, about 64km ( 40 miles). The train runs steam and diesel-powered trains and rail motor cars. It ships lumber on a fleet of steam schooners, first with wooden hulls and later with steel, until shipboard transportation of lumber ended in 1940. It is still in use today for carrying passengers"
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history,"This is a table of Passenger air service history before 1955 operated from present day Toledo Executive Airport formerly known as Toledo Municipal. The first row depicts the Airline, Destination, Aircraft Scheduled, service date and comments. The first column which contain a list of about 28 airlines and their various destinations. various aircraft schedule are also included and their service date too."
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history,"This table shows all about the Toledo Executive Airport passenger air service history. There are 28 different airlines that are used. The destinations include places like JFK in NY, Ohio, and Florida. It also shows what sort of aircraft was scheduled to be flown, some are Boeing 737-200, DC-9-10, and the ERJ-145. It also shows the service dates of the planes at all destinations."
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history,"Here is the detail of Passenger air service history at Toledo Express Airport. The detail provides us the names of various Airlines operating at Toledo Express Airport, destinations which can be reached from the airport, Aircraft scheduled on Airport and Service dates. The comment section also provides the some important facts about airlines."
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history,"""I found a table of airline members with the history of air passenger service there are 28 airlines including Air florida, AirTran Airways and Air Wisconsin among others with flight destinations throughout the country. Among them New York JFK, Tampa, Washington National and Pittsburgh. """
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history,"I found a table on this. It includes 29 airlines, like Delta and Frontier. Service dates are included for some, but not all are exact. Some of the airlines have now merged with others (particularly Delta) or closed / went bankrupt."
Tell me the lond island solar farm,Eastern_Long_Island_Solar_Project,https://en.wikipedia.org/wiki/Long_Island_Solar_Farm#Eastern_Long_Island_Solar_Project,"I found a table showing the project locations for the Eastern Long Island Solar Project and how much power does each location outputs. Ronkonkoma LIRR Parking Lot (south) in Ronkonkoma produces the most. It outputs 5 MW(AC) of power, having 20,110 modules and 44 arrays. The least producing location is in North County Complex  located in Hauppauge, producing only about 0.5 MW(AC) of power. The location has 3,431 Modules and only 9 arrays."
Tell me the lond island solar farm,Eastern_Long_Island_Solar_Project,https://en.wikipedia.org/wiki/Long_Island_Solar_Farm#Eastern_Long_Island_Solar_Project,"Here is the detail of group of projects in Long Island Solar Farm. The detail provides us the location of the various projects in Long Island Solar Farm. In this table name of the location of projects, Town in which the project is located, Output (MW AC) of the project, Modules and Number of arrays related to project is available."
