Input_context,Input_title,Input_url
how many times was ed sheeran listed as the performer,2014,https://en.wikipedia.org/wiki/List_of_number-one_singles_and_albums_in_Sweden#2014
how many buildings have at least ten floors,List_of_tallest_buildings_in_Boise,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Boise
What country has won the most in the pune international marathon?,Past_winners,https://en.wikipedia.org/wiki/Pune_International_Marathon#Past_winners
How did Diesel locomotives do in constructing California Western Railroad,Diesel_locomotives,https://en.wikipedia.org/wiki/California_Western_Railroad#Diesel_locomotives
How were the air service?,Passenger_air_service_history,https://en.wikipedia.org/wiki/Toledo_Express_Airport#Passenger_air_service_history
Tell me the lond island solar farm,Eastern_Long_Island_Solar_Project,https://en.wikipedia.org/wiki/Long_Island_Solar_Farm#Eastern_Long_Island_Solar_Project
Tell me his singles?,Charted_singles,https://en.wikipedia.org/wiki/Maxine_Nightingale#Charted_singles
What were the performances of Stéphanie Dubois?,ITF_Circuit_finals,https://en.wikipedia.org/wiki/St%C3%A9phanie_Dubois#ITF_Circuit_finals
Tell me about the national parks in Finnland,List_of_national_parks,https://en.wikipedia.org/wiki/List_of_national_parks_of_Finland#List_of_national_parks
How did he perform in single finals,Career_finals,https://en.wikipedia.org/wiki/Jos%C3%A9_Higueras#Career_finals
What films has Henrik Malberg acted?,Filmography,https://en.wikipedia.org/wiki/Henrik_Malberg#Filmography
What are the populations?,Reserves,https://en.wikipedia.org/wiki/Millbrook_First_Nation#Reserves
Tell me about the hit recordings that Gene Paul has engineered?,Recordings,https://en.wikipedia.org/wiki/Gene_Paul#Recordings
What are the active members?,Squad_members,https://en.wikipedia.org/wiki/South_Korea_Davis_Cup_team#Squad_members
What are the songs included in 21 & Over?,Track listing,https://en.wikipedia.org/wiki/21_%26_Over_(album)#Track_listing
What are the airlines in Uganda,List_of_airlines_of_Uganda,https://en.wikipedia.org/wiki/List_of_airlines_of_Uganda#0
What films has Madhuurima acted?,Filmography,https://en.wikipedia.org/wiki/Madhuurima#Filmography
Tell me about the mountains peaks of California with 4000 meters summits?,Major 4000-meter summits,https://en.wikipedia.org/wiki/List_of_the_major_4000-meter_summits_of_California#Major_4000-meter_summits
How is career?,Statistics,https://en.wikipedia.org/wiki/Jones_Kusi-Asare#Statistics
Tell me about pillow pals?,List_of_Pillow_Pals,https://en.wikipedia.org/wiki/Pillow_Pal#List_of_Pillow_Pals
Tell me the performances of Leandro Lopes Luiz,Performances,https://en.wikipedia.org/wiki/Leandro_Lopes#Performances
Which wrestle has ever won the ECW World Tag Team Champions?,By wrestler,https://en.wikipedia.org/wiki/List_of_ECW_World_Tag_Team_Champions#By_wrestler
how many swimmers swam faster than 1:03.59?,Final,https://en.wikipedia.org/wiki/Swimming_at_the_1979_Pan_American_Games_%E2%80%93_Women%27s_100_metre_butterfly#Final
Tell me about the defunct airports in queensland,Defunct_airports,https://en.wikipedia.org/wiki/List_of_airports_in_Queensland#Defunct_airports
Tell me about the discographies of Pearl Django?,Discography,https://en.wikipedia.org/wiki/Pearl_Django#Discography
what is medium rare,Temperature,https://en.wikipedia.org/wiki/Doneness#Temperature
which two institutions joined the same year as clarke university?,Member_schools,https://en.wikipedia.org/wiki/Midwest_Collegiate_Conference#Member_schools
how is her career,Achievements,https://en.wikipedia.org/wiki/Imma_Clopés#Achievements
how many bridges are longer than 200 feet?,Bridges_designed_by_McCullough,https://en.wikipedia.org/wiki/Conde_McCullough#Bridges_designed_by_McCullough
how many racers had an offenhauser engine?,Entrants,https://en.wikipedia.org/wiki/Race_of_Two_Worlds#Entrants
in what year were there the most athletes?,Editions,https://en.wikipedia.org/wiki/NACAC_U23_Championships_in_Athletics#Editions
how many people were appointed after 2011?,Managers,https://en.wikipedia.org/wiki/List_of_current_Belgian_Football_League_managers#Managers
how many players have a total above 10?,Single_game,https://en.wikipedia.org/wiki/1971–72_National_Hurling_League#Single_game
tell me about her discography,Discography,https://en.wikipedia.org/wiki/Solveig_Slettahjell#Discography
tell me about alcohol consumtion in cananda,Comparative_consumption,https://en.wikipedia.org/wiki/Alcoholic_drinks_in_Canada#Comparative_consumption
how many riders scored at least 20 points?,250_cc_classification,https://en.wikipedia.org/wiki/2002_Catalan_motorcycle_Grand_Prix#250_cc_classification
tell me about the tall buldings in kanpur,List_of_tallest_buildings_in_Kanpur,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Kanpur
what is the most amount of stars?,National_teams,https://en.wikipedia.org/wiki/Star_(football_badge)#National_teams
how did her perform in the finals,Grand_Slam_finals,https://en.wikipedia.org/wiki/Anne_Smith#Grand_Slam_finals
tell me about his career,Achievements,https://en.wikipedia.org/wiki/Julio_René_Mart%C3%ADnez#Achievements
how many points did toronto have more than montreal in their first game?,Regular_season,https://en.wikipedia.org/wiki/1916–17_Toronto_Hockey_Club_season#Regular_season
tell me about the football clubs in Finland,T,https://en.wikipedia.org/wiki/List_of_football_clubs_in_Finland_–_T#T
tell me about the clubs,Clubs,https://en.wikipedia.org/wiki/2012–13_New_Zealand_Football_Championship#Clubs
what was the total number of fastest laps that peggen andersson completed?,Race_calendar_and_winners,https://en.wikipedia.org/wiki/1998_Swedish_Touring_Car_Championship#Race_calendar_and_winners
how many athletes finished race 1?,Alpine_skiing,https://en.wikipedia.org/wiki/Iceland_at_the_2002_Winter_Olympics#Alpine_skiing
tell me about the series,Track_listing,https://en.wikipedia.org/wiki/Disneymania_4#Track_listing
tell me about these computers,Early_digital_computer_characteristics,https://en.wikipedia.org/wiki/History_of_computing_hardware#Early_digital_computer_characteristics
tell me about these districts,Alphabetical_listing,https://en.wikipedia.org/wiki/List_of_districts_of_Uttarakhand#Alphabetical_listing
purdue had how many consecutive in the 1960s?,Award_winners,https://en.wikipedia.org/wiki/Indiana_Mr._Basketball#Award_winners
how many authors have more than 500 patients?,Infective_endocarditis,https://en.wikipedia.org/wiki/Pericardial_heart_valves#Infective_endocarditis
how many parties had more than 50 seats in the third duma?,Seats_held_in_Imperial_Dumas,https://en.wikipedia.org/wiki/State_Duma_(Russian_Empire)#Seats_held_in_Imperial_Dumas
tell me about the tv stations,Full-power_stations,https://en.wikipedia.org/wiki/List_of_television_stations_in_Missouri#Full-power_stations
tell me about this prix,125_cc_classification,https://en.wikipedia.org/wiki/2010_Catalan_motorcycle_Grand_Prix#125_cc_classification
tell me the number of non-album singles,Promotional_singles,https://en.wikipedia.org/wiki/Meek_Mill_discography#Promotional_singles
which margin of victory was the largest?,Professional_wins_(44),https://en.wikipedia.org/wiki/Don_January#Professional_wins_(44)
give me a summary of these products,Summary_of_products,https://en.wikipedia.org/wiki/Crest_Whitestrips#Summary_of_products
what is the number of songs that were also on the bintang di surga album?,Track_listings_(CD_version),https://en.wikipedia.org/wiki/Sebuah_Nama_Sebuah_Cerita#Track_listings_(CD_version)
tell me about these missioins?,List_of_missions,https://en.wikipedia.org/wiki/Sample-return_mission#List_of_missions
how many other appearance did this artist make in 2005?,Other_appearances,https://en.wikipedia.org/wiki/Rimi_Natsukawa_discography#Other_appearances
What films has he acted?,Filmography,https://en.wikipedia.org/wiki/Ravi_Krishna#Filmography
how many buildings have less than 20 floors?,Tallest_buildings,https://en.wikipedia.org/wiki/List_of_tallest_buildings_in_Cleveland#Tallest_buildings
what is the number of games played on hard surfaces this season?,Tournament_schedule,https://en.wikipedia.org/wiki/2014_Victoria_Azarenka_tennis_season#Tournament_schedule
how many times did scribe win?,Best Urban/Hip Hop Album (2004 to 2016),https://en.wikipedia.org/wiki/New_Zealand_Music_Awards_for_Best_Hip_Hop_Artist_and_Best_Soul/RnB_Artist#Recipients
what is the total number of nobel prize winners on the list?,Top_10,https://en.wikipedia.org/wiki/The_Greatest_Canadian#Top_10
what is the total number of films that are love stories?,Filmography,https://en.wikipedia.org/wiki/Sunil_Kumar_Desai#Filmography
how many shows were modern dramas?,First_line_series,https://en.wikipedia.org/wiki/List_of_TVB_series_(1996)#First_line_series
tell me about these winners,Winners_of_all_four_awards,"https://en.wikipedia.org/wiki/List_of_people_who_have_won_Academy,_Emmy,_Grammy,_and_Tony_Awards#Winners_of_all_four_awards"
how many years have no games when awarded in the historical simulation category?,Winning_titles,https://en.wikipedia.org/wiki/Games_100#Winning_titles
tell me about his singles,Singles,https://en.wikipedia.org/wiki/Charlotte_Hatherley#Singles
how many songs did joni mitchell perform?,Performances,https://en.wikipedia.org/wiki/The_Last_Waltz#Performances
tell me about the movies he acted,Selected_filmography,https://en.wikipedia.org/wiki/Zhao_Dan#Selected_filmography
tell me about the performances,Highest_and_lowest_scoring_performances,https://en.wikipedia.org/wiki/Tantsud_tähtedega_2008#Highest_and_lowest_scoring_performances
the number of films govinda appeared in during his debut year.,Film,https://en.wikipedia.org/wiki/Govinda_filmography#Film
how many courthouses are in vermont total,Courthouses,https://en.wikipedia.org/wiki/List_of_United_States_federal_courthouses_in_Vermont#Courthouses
tell me about the history and what is the number of trains that were either scrapped or destroyed?,Development_history_and_versions,https://en.wikipedia.org/wiki/Transrapid#Development_history_and_versions
how many intersecting roads are there in rocky view county?,Major_intersections,https://en.wikipedia.org/wiki/Alberta_Highway_566#Major_intersections
what is the total number of affiliates among all the networks?,List_of_television_stations,https://en.wikipedia.org/wiki/List_of_television_stations_in_Morelos#List_of_television_stations
tell me about the ships,Production_record,https://en.wikipedia.org/wiki/List_of_ships_built_at_the_Fore_River_Shipyard#Production_record
tell me about his achievements,Emmy_Awards,https://en.wikipedia.org/wiki/List_of_awards_and_nominations_received_by_Cheers#Emmy_Awards
how many total bridges are in copiah county?,List_of_bridges_on_the_National_Register_of_Historic_Places_in_Mississippi,https://en.wikipedia.org/wiki/List_of_bridges_on_the_National_Register_of_Historic_Places_in_Mississippi
